,time,service,rho
0,5.5377518182798395,FIFO,0.8
1,4.914308341074826,FIFO,0.8
2,6.099780240848282,FIFO,0.8
3,5.015499830972913,FIFO,0.8
4,5.3057237694473125,FIFO,0.8
5,4.921080890413487,FIFO,0.8
6,5.468720180276577,FIFO,0.8
7,5.591717675318586,FIFO,0.8
8,5.12236630463963,FIFO,0.8
9,5.4312380403311185,FIFO,0.8
10,5.36752964054922,FIFO,0.8
11,4.943720610196184,FIFO,0.8
12,5.488934720202384,FIFO,0.8
13,5.687764985152024,FIFO,0.8
14,5.0918612879795715,FIFO,0.8
15,4.690616905952364,FIFO,0.8
16,5.211877473303174,FIFO,0.8
17,5.076594044336016,FIFO,0.8
18,5.343186325546468,FIFO,0.8
19,6.026064989781118,FIFO,0.8
20,5.0520763246428295,FIFO,0.8
21,5.063165836451977,FIFO,0.8
22,5.420244405019311,FIFO,0.8
23,5.538031184732791,FIFO,0.8
24,5.808948662574081,FIFO,0.8
25,5.015570881729758,FIFO,0.8
26,5.197901222628756,FIFO,0.8
27,5.123128399134993,FIFO,0.8
28,5.1984356163933585,FIFO,0.8
29,5.83228672776928,FIFO,0.8
30,4.958877562924075,FIFO,0.8
31,4.88042884303159,FIFO,0.8
32,5.800887176890342,FIFO,0.8
33,5.4271884744922625,FIFO,0.8
34,5.502475159501671,FIFO,0.8
35,5.76011454529813,FIFO,0.8
36,5.150936729563578,FIFO,0.8
37,4.902766299015034,FIFO,0.8
38,5.032838954317326,FIFO,0.8
39,5.4911759734743955,FIFO,0.8
40,5.3128550471535965,FIFO,0.8
41,6.156428628641773,FIFO,0.8
42,5.355508707304901,FIFO,0.8
43,5.804158800310465,FIFO,0.8
44,4.867665275834157,FIFO,0.8
45,4.822897526091659,FIFO,0.8
46,4.762468127440158,FIFO,0.8
47,4.92606657949639,FIFO,0.8
48,4.765760225875403,FIFO,0.8
49,5.955454333963049,FIFO,0.8
50,5.004287291356062,FIFO,0.8
51,5.133745893033419,FIFO,0.8
52,5.791102900102541,FIFO,0.8
53,5.11279684713576,FIFO,0.8
54,5.054086876082474,FIFO,0.8
55,5.356478470435792,FIFO,0.8
56,5.224836441907574,FIFO,0.8
57,4.650142433877369,FIFO,0.8
58,4.607957192552393,FIFO,0.8
59,5.963344637255245,FIFO,0.8
60,5.607712579510494,FIFO,0.8
61,4.96013548037272,FIFO,0.8
62,5.490160486322125,FIFO,0.8
63,4.775669687479794,FIFO,0.8
64,5.184147325975239,FIFO,0.8
65,5.264953859079897,FIFO,0.8
66,5.0531584395583025,FIFO,0.8
67,4.513310222123844,FIFO,0.8
68,5.083346044198767,FIFO,0.8
69,5.419243290725176,FIFO,0.8
70,5.369617197550922,FIFO,0.8
71,5.789887678366368,FIFO,0.8
72,5.0769558267222195,FIFO,0.8
73,5.6003646042681945,FIFO,0.8
74,5.3874379547497275,FIFO,0.8
75,5.082639481768302,FIFO,0.8
76,4.80626369924026,FIFO,0.8
77,5.300850815859717,FIFO,0.8
78,5.406027663438301,FIFO,0.8
79,6.096688596708688,FIFO,0.8
